title,name,component_attachment,property_template,value_template,datatype,value_transformation
station_id,station_id,qb:dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/dimension/station_id,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept/station_id/{station_id},string,
longitude,longitude,qb:dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/dimension/longitude,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept/longitude/{longitude},string,
latitude,latitude,qb:dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/dimension/latitude,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept/latitude/{latitude},string,
time,time,qb:dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/dimension/time,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept/time/{time},string,
AtmosphericPressure,atmosphericpressure,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/atmosphericpressure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/atmosphericpressure/{atmosphericpressure},string,
WindDirection,winddirection,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/winddirection,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/winddirection/{winddirection},string,
WindSpeed,windspeed,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/windspeed,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/windspeed/{windspeed},string,
Gust,gust,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/gust,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/gust/{gust},string,
WaveHeight,waveheight,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/waveheight,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/waveheight/{waveheight},string,
WavePeriod,waveperiod,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/waveperiod,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/waveperiod/{waveperiod},string,
MeanWaveDirection,meanwavedirection,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/meanwavedirection,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/meanwavedirection/{meanwavedirection},string,
Hmax,hmax,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/hmax,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/hmax/{hmax},string,
AirTemperature,airtemperature,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/airtemperature,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/airtemperature/{airtemperature},string,
DewPoint,dewpoint,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/dewpoint,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/dewpoint/{dewpoint},string,
SeaTemperature,seatemperature,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/seatemperature,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/seatemperature/{seatemperature},string,
salinity,salinity,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/salinity,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/salinity/{salinity},string,
RelativeHumidity,relativehumidity,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/relativehumidity,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/relativehumidity/{relativehumidity},string,
QC_Flag,qc_flag,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/qc_flag,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/qc_flag/{qc_flag},string,
value,value,,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/{measure_type},,string,
Measure Type,measure_type,qb:dimension,http://purl.org/linked-data/cube#measureType,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/{measure_type},string,slugize
